WriteTemp,ReadTemp,DateTime
25.0,25.0,2026-04-09 18:16:07.094487
25.7,25.0,2026-04-09 18:16:27.889398
26.3,25.0,2026-04-09 18:16:29.889969
27.0,25.0,2026-04-09 18:16:31.890639
27.7,25.0,2026-04-09 18:16:33.891009
28.3,25.0,2026-04-09 18:16:35.891220
29.0,25.0,2026-04-09 18:16:37.891953
29.7,25.0,2026-04-09 18:16:39.892615
30.3,25.0,2026-04-09 18:16:41.893366
31.0,25.0,2026-04-09 18:16:43.893726
31.7,25.0,2026-04-09 18:16:45.894315
32.3,25.0,2026-04-09 18:16:47.894890
33.0,25.0,2026-04-09 18:16:49.895259
33.7,25.0,2026-04-09 18:16:51.896041
34.3,25.0,2026-04-09 18:16:53.896745
35.0,25.0,2026-04-09 18:16:55.888060
35.7,25.0,2026-04-09 18:16:57.888514
36.3,25.0,2026-04-09 18:16:59.888745
37.0,25.0,2026-04-09 18:17:01.889579
37.7,25.0,2026-04-09 18:17:03.890174
38.3,25.0,2026-04-09 18:17:05.890846
39.0,25.0,2026-04-09 18:17:07.891261
39.7,25.0,2026-04-09 18:17:09.892147
40.3,25.0,2026-04-09 18:17:11.892780
41.0,25.0,2026-04-09 18:17:13.893502
41.7,25.0,2026-04-09 18:17:15.893912
42.3,25.0,2026-04-09 18:17:17.894187
43.0,25.0,2026-04-09 18:17:19.894999
43.7,25.0,2026-04-09 18:17:21.896091
44.3,25.0,2026-04-09 18:17:23.897068
45.0,25.0,2026-04-09 18:17:25.888690
45.7,25.0,2026-04-09 18:17:27.889354
46.3,25.0,2026-04-09 18:17:29.889926
47.0,25.0,2026-04-09 18:17:31.890248
47.7,25.0,2026-04-09 18:17:33.890647
48.3,25.0,2026-04-09 18:17:35.891420
49.0,25.0,2026-04-09 18:17:37.892264
49.7,25.0,2026-04-09 18:17:39.893488
50.3,25.0,2026-04-09 18:17:41.893983
51.0,25.0,2026-04-09 18:17:43.894456
51.7,25.0,2026-04-09 18:17:45.895146
52.3,25.0,2026-04-09 18:17:47.895787
53.0,25.0,2026-04-09 18:17:49.896191
53.7,25.0,2026-04-09 18:17:51.896691
54.3,25.0,2026-04-09 18:17:53.896960
55.0,25.0,2026-04-09 18:17:55.889693
55.7,25.0,2026-04-09 18:17:57.890231
56.3,25.0,2026-04-09 18:17:59.890604
57.0,25.0,2026-04-09 18:18:01.891284
57.7,25.0,2026-04-09 18:18:03.892328
58.3,25.0,2026-04-09 18:18:05.893243
59.0,25.0,2026-04-09 18:18:07.893753
59.7,25.0,2026-04-09 18:18:09.893978
60.3,25.0,2026-04-09 18:18:11.895008
61.0,25.0,2026-04-09 18:18:13.896158
61.7,25.0,2026-04-09 18:18:15.896875
62.3,25.0,2026-04-09 18:18:17.897269
63.0,25.0,2026-04-09 18:18:19.897746
63.7,25.0,2026-04-09 18:18:21.898267
64.3,25.0,2026-04-09 18:18:23.898875
65.0,25.0,2026-04-09 18:18:25.891002
65.7,25.0,2026-04-09 18:18:27.891650
66.3,25.0,2026-04-09 18:18:29.892003
67.0,25.0,2026-04-09 18:18:31.892765
67.7,25.0,2026-04-09 18:18:33.893238
68.3,25.0,2026-04-09 18:18:35.893845
69.0,25.0,2026-04-09 18:18:37.894518
