trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12129371612034169,0.1460454742916839,0.03,"{""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""gamma"": 0.0, ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0, ""weights"": ""uniform""}",
2,success,0.10921253357078221,0.18303842797412315,0.07,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 126, ""strategy"": ""separate"", ""weights"": ""distance""}",
3,success,0.10732068664539844,0.22901109182429913,0.05,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 303, ""strategy"": ""separate"", ""weights"": ""distance""}",
4,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 112, ""strategy"": ""separate"", ""weights"": ""distance""}",
5,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 113, ""strategy"": ""separate"", ""weights"": ""distance""}",
6,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 358, ""strategy"": ""separate"", ""weights"": ""distance""}",
7,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 111, ""strategy"": ""separate"", ""weights"": ""distance""}",
8,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 50, ""strategy"": ""separate"", ""weights"": ""distance""}",
9,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 374, ""strategy"": ""separate"", ""weights"": ""distance""}",
10,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 283, ""strategy"": ""separate"", ""weights"": ""distance""}",
11,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 24, ""strategy"": ""separate"", ""weights"": ""distance""}",
12,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 438, ""strategy"": ""separate"", ""weights"": ""distance""}",
13,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 233, ""strategy"": ""separate"", ""weights"": ""distance""}",
14,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 182, ""strategy"": ""separate"", ""weights"": ""distance""}",
15,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 274, ""strategy"": ""separate"", ""weights"": ""distance""}",
16,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 195, ""strategy"": ""separate"", ""weights"": ""distance""}",
17,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 118, ""strategy"": ""separate"", ""weights"": ""distance""}",
18,success,0.11131074542963687,0.2222448175351132,0.00,"{""n_neighbors"": 2, ""p"": 1, ""random_state"": 34, ""strategy"": ""separate"", ""weights"": ""distance""}",
19,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 203, ""strategy"": ""separate"", ""weights"": ""distance""}",
20,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 72, ""strategy"": ""separate"", ""weights"": ""distance""}",
21,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 186, ""strategy"": ""separate"", ""weights"": ""distance""}",
22,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 387, ""strategy"": ""separate"", ""weights"": ""distance""}",
23,success,0.11131074542963687,0.2222448175351132,0.00,"{""n_neighbors"": 2, ""p"": 1, ""random_state"": 406, ""strategy"": ""separate"", ""weights"": ""distance""}",
24,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 196, ""strategy"": ""separate"", ""weights"": ""distance""}",
25,success,0.10962593675618953,0.20142123313028107,0.00,"{""n_neighbors"": 6, ""p"": 1, ""random_state"": 349, ""strategy"": ""separate"", ""weights"": ""distance""}",
26,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 58, ""strategy"": ""separate"", ""weights"": ""distance""}",
27,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 2, ""strategy"": ""separate"", ""weights"": ""distance""}",
28,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 446, ""strategy"": ""separate"", ""weights"": ""distance""}",
29,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 192, ""strategy"": ""separate"", ""weights"": ""distance""}",
30,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 10, ""strategy"": ""separate"", ""weights"": ""distance""}",
31,success,0.11131074542963687,0.2222448175351132,0.00,"{""n_neighbors"": 2, ""p"": 1, ""random_state"": 30, ""strategy"": ""separate"", ""weights"": ""distance""}",
