trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.08242391647856441,0.12288469969609601,0.03,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.11814155119998021,-0.06713741470971517,0.00,"{""colsample_bytree"": 0.371747, ""early_stopping_rounds"": 95, ""learning_rate"": 0.042286, ""max_depth"": 7, ""min_child_samples"": 33, ""n_estimators"": 1409, ""num_leaves"": 77, ""random_state"": 6913, ""reg_alpha"": 0.740668, ""reg_lambda"": 0.545367, ""strategy"": ""shared"", ""subsample"": 0.569769}",
3,success,0.13092087055288334,-0.14056920848574128,0.13,"{""colsample_bytree"": 0.439186, ""early_stopping_rounds"": 48, ""learning_rate"": 0.037172, ""max_depth"": 6, ""min_child_samples"": 82, ""n_estimators"": 161, ""num_leaves"": 144, ""random_state"": 7360, ""reg_alpha"": 0.649884, ""reg_lambda"": 0.544941, ""strategy"": ""separate"", ""subsample"": 0.513268}",
4,success,0.11521286004292836,-0.055659269974323654,0.00,"{""colsample_bytree"": 0.408836, ""early_stopping_rounds"": 31, ""learning_rate"": 0.262097, ""max_depth"": 5, ""min_child_samples"": 59, ""n_estimators"": 1757, ""num_leaves"": 193, ""random_state"": 6225, ""reg_alpha"": 0.957213, ""reg_lambda"": 0.336595, ""strategy"": ""shared"", ""subsample"": 0.670125}",
5,success,0.07909299307285185,-0.0452249526298655,0.12,"{""colsample_bytree"": 0.67536, ""early_stopping_rounds"": 90, ""learning_rate"": 0.255773, ""max_depth"": 12, ""min_child_samples"": 10, ""n_estimators"": 835, ""num_leaves"": 82, ""random_state"": 4804, ""reg_alpha"": 0.973116, ""reg_lambda"": 0.378534, ""strategy"": ""separate"", ""subsample"": 0.864866}",
6,success,0.13092087055288334,-0.14056920848574128,0.00,"{""colsample_bytree"": 0.502572, ""early_stopping_rounds"": 32, ""learning_rate"": 0.065764, ""max_depth"": 4, ""min_child_samples"": 89, ""n_estimators"": 1282, ""num_leaves"": 26, ""random_state"": 6228, ""reg_alpha"": 0.079792, ""reg_lambda"": 0.232791, ""strategy"": ""separate"", ""subsample"": 0.613949}",
7,success,0.11607869177445962,-0.06568603351374341,0.00,"{""colsample_bytree"": 0.769123, ""early_stopping_rounds"": 29, ""learning_rate"": 0.194348, ""max_depth"": 8, ""min_child_samples"": 52, ""n_estimators"": 1028, ""num_leaves"": 56, ""random_state"": 9981, ""reg_alpha"": 0.70182, ""reg_lambda"": 0.683548, ""strategy"": ""shared"", ""subsample"": 0.677635}",
8,success,0.11715798236881815,-0.05746716304613858,0.00,"{""colsample_bytree"": 0.947774, ""early_stopping_rounds"": 61, ""learning_rate"": 0.221447, ""max_depth"": 5, ""min_child_samples"": 53, ""n_estimators"": 1193, ""num_leaves"": 133, ""random_state"": 917, ""reg_alpha"": 0.688162, ""reg_lambda"": 0.219615, ""strategy"": ""shared"", ""subsample"": 0.634974}",
9,success,0.08507069861691098,-0.029107837140636212,0.03,"{""colsample_bytree"": 0.939195, ""early_stopping_rounds"": 47, ""learning_rate"": 0.019309, ""max_depth"": 8, ""min_child_samples"": 39, ""n_estimators"": 1783, ""num_leaves"": 117, ""random_state"": 8180, ""reg_alpha"": 0.56718, ""reg_lambda"": 0.717914, ""strategy"": ""separate"", ""subsample"": 0.533094}",
10,success,0.09360282784988856,-1.6105692756158125,0.02,"{""colsample_bytree"": 0.821492, ""early_stopping_rounds"": 74, ""learning_rate"": 0.275219, ""max_depth"": 10, ""min_child_samples"": 38, ""n_estimators"": 1911, ""num_leaves"": 51, ""random_state"": 9561, ""reg_alpha"": 0.538977, ""reg_lambda"": 0.747014, ""strategy"": ""separate"", ""subsample"": 0.569815}",
11,success,0.11522903749735375,-0.06068260717897389,0.00,"{""colsample_bytree"": 0.332981, ""early_stopping_rounds"": 74, ""learning_rate"": 0.073603, ""max_depth"": 5, ""min_child_samples"": 68, ""n_estimators"": 841, ""num_leaves"": 145, ""random_state"": 9772, ""reg_alpha"": 0.109649, ""reg_lambda"": 0.627446, ""strategy"": ""shared"", ""subsample"": 0.545455}",
12,success,0.0971293697504411,-6.87067774478911,0.01,"{""colsample_bytree"": 0.902546, ""early_stopping_rounds"": 88, ""learning_rate"": 0.12067, ""max_depth"": 10, ""min_child_samples"": 37, ""n_estimators"": 888, ""num_leaves"": 150, ""random_state"": 4372, ""reg_alpha"": 0.011481, ""reg_lambda"": 0.720722, ""strategy"": ""separate"", ""subsample"": 0.985539}",
13,success,0.11745251232371055,-0.042187997954332146,0.00,"{""colsample_bytree"": 0.913097, ""early_stopping_rounds"": 42, ""learning_rate"": 0.095115, ""max_depth"": 5, ""min_child_samples"": 5, ""n_estimators"": 328, ""num_leaves"": 131, ""random_state"": 8318, ""reg_alpha"": 0.263389, ""reg_lambda"": 0.500586, ""strategy"": ""shared"", ""subsample"": 0.976908}",
14,success,0.10653552669595036,-6.864690616329454,0.02,"{""colsample_bytree"": 0.833758, ""early_stopping_rounds"": 87, ""learning_rate"": 0.191337, ""max_depth"": 11, ""min_child_samples"": 30, ""n_estimators"": 1882, ""num_leaves"": 170, ""random_state"": 10, ""reg_alpha"": 0.539379, ""reg_lambda"": 0.778626, ""strategy"": ""separate"", ""subsample"": 0.57642}",
15,success,0.11640606276274164,-0.06098419143845533,0.01,"{""colsample_bytree"": 0.46861, ""early_stopping_rounds"": 82, ""learning_rate"": 0.015648, ""max_depth"": 8, ""min_child_samples"": 44, ""n_estimators"": 1100, ""num_leaves"": 239, ""random_state"": 1134, ""reg_alpha"": 0.567357, ""reg_lambda"": 0.078757, ""strategy"": ""shared"", ""subsample"": 0.619726}",
16,success,0.08732544405380631,-1.62462994730169,0.01,"{""colsample_bytree"": 0.724616, ""early_stopping_rounds"": 45, ""learning_rate"": 0.201328, ""max_depth"": 11, ""min_child_samples"": 38, ""n_estimators"": 362, ""num_leaves"": 57, ""random_state"": 5108, ""reg_alpha"": 0.964363, ""reg_lambda"": 0.928913, ""strategy"": ""separate"", ""subsample"": 0.763837}",
