trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12377768070516328,0.0934846200642976,0.06,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,16.782847905007547,-53244.651439459005,0.23,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.868236, ""early_stopping_rounds"": 32, ""learning_rate"": 0.042286, ""max_depth"": 14, ""min_child_samples"": 36, ""n_estimators"": 2819, ""num_leaves"": 85, ""random_state"": 303, ""reg_alpha"": 6.766995, ""reg_lambda"": 8.921796, ""strategy"": ""separate"", ""subsample"": 0.611605}",
3,success,0.1469543261276686,-0.12217246230088814,0.17,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.599419, ""early_stopping_rounds"": 66, ""learning_rate"": 0.037172, ""max_depth"": 6, ""min_child_samples"": 82, ""n_estimators"": 322, ""num_leaves"": 144, ""random_state"": 230, ""reg_alpha"": 6.498844, ""reg_lambda"": 5.449415, ""strategy"": ""separate"", ""subsample"": 0.513268}",
4,success,0.13416585844229936,-0.05165712068430386,0.02,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.881747, ""early_stopping_rounds"": 101, ""learning_rate"": 0.21246, ""max_depth"": 8, ""min_child_samples"": 24, ""n_estimators"": 853, ""num_leaves"": 86, ""random_state"": 434, ""reg_alpha"": 1.022103, ""reg_lambda"": 3.799273, ""strategy"": ""separate"", ""subsample"": 0.607657}",
5,success,0.13340759918444348,-0.058766049850189996,0.01,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.961148, ""early_stopping_rounds"": 102, ""learning_rate"": 0.244067, ""max_depth"": 14, ""min_child_samples"": 73, ""n_estimators"": 1283, ""num_leaves"": 132, ""random_state"": 296, ""reg_alpha"": 0.788002, ""reg_lambda"": 2.931783, ""strategy"": ""shared"", ""subsample"": 0.562413}",
6,success,0.1295580673928726,-0.06157620485492785,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.927659, ""early_stopping_rounds"": 126, ""learning_rate"": 0.023289, ""max_depth"": 6, ""min_child_samples"": 42, ""n_estimators"": 484, ""num_leaves"": 212, ""random_state"": 326, ""reg_alpha"": 8.664837, ""reg_lambda"": 3.801262, ""strategy"": ""separate"", ""subsample"": 0.992611}",
7,success,0.1469543261276686,-0.12217246230088814,0.01,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.824018, ""early_stopping_rounds"": 72, ""learning_rate"": 0.113029, ""max_depth"": 13, ""min_child_samples"": 94, ""n_estimators"": 1716, ""num_leaves"": 83, ""random_state"": 84, ""reg_alpha"": 6.09131, ""reg_lambda"": 1.711386, ""strategy"": ""separate"", ""subsample"": 0.968327}",
8,success,0.28135200081132616,-2331.1914616173704,0.09,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.662141, ""early_stopping_rounds"": 18, ""learning_rate"": 0.296962, ""max_depth"": 13, ""min_child_samples"": 76, ""n_estimators"": 1305, ""num_leaves"": 191, ""random_state"": 413, ""reg_alpha"": 7.683136, ""reg_lambda"": 0.559379, ""strategy"": ""separate"", ""subsample"": 0.609808}",
9,success,0.1469543261276686,-0.12217246230088814,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.827719, ""early_stopping_rounds"": 127, ""learning_rate"": 0.029195, ""max_depth"": 12, ""min_child_samples"": 96, ""n_estimators"": 1296, ""num_leaves"": 239, ""random_state"": 74, ""reg_alpha"": 3.956319, ""reg_lambda"": 9.145476, ""strategy"": ""separate"", ""subsample"": 0.657339}",
10,success,0.1469543261276686,-0.12217246230088814,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.948911, ""early_stopping_rounds"": 45, ""learning_rate"": 0.226047, ""max_depth"": 11, ""min_child_samples"": 100, ""n_estimators"": 1210, ""num_leaves"": 82, ""random_state"": 261, ""reg_alpha"": 3.994005, ""reg_lambda"": 2.193208, ""strategy"": ""separate"", ""subsample"": 0.792293}",
