trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.1370046199250025,-0.06424975527881265,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.1193241558568226,0.12830512094820792,0.14,"{""colsample_bytree"": 0.348978, ""max_depth"": 23, ""min_child_samples"": 1, ""n_estimators"": 1809, ""random_state"": 72, ""strategy"": ""separate"", ""subsample"": 0.922465}",
3,success,0.12723279400556264,-0.005646168066138417,0.11,"{""colsample_bytree"": 0.418099, ""max_depth"": 43, ""min_child_samples"": 15, ""n_estimators"": 1885, ""random_state"": 17, ""strategy"": ""separate"", ""subsample"": 0.86361}",
4,success,0.12318040959337855,0.06920649795552399,0.02,"{""colsample_bytree"": 0.305307, ""max_depth"": 26, ""min_child_samples"": 4, ""n_estimators"": 691, ""random_state"": 102, ""strategy"": ""separate"", ""subsample"": 0.851607}",
5,success,0.12604332102834595,0.019724354328116644,0.03,"{""colsample_bytree"": 0.47386, ""max_depth"": 34, ""min_child_samples"": 10, ""n_estimators"": 951, ""random_state"": 389, ""strategy"": ""separate"", ""subsample"": 0.783457}",
6,success,0.12406851771558568,0.04464602839268637,0.07,"{""colsample_bytree"": 0.343063, ""max_depth"": 33, ""min_child_samples"": 6, ""n_estimators"": 1929, ""random_state"": 391, ""strategy"": ""separate"", ""subsample"": 0.783361}",
7,success,0.1255746330700673,0.03738709905572574,0.02,"{""colsample_bytree"": 0.469499, ""max_depth"": 22, ""min_child_samples"": 7, ""n_estimators"": 709, ""random_state"": 310, ""strategy"": ""separate"", ""subsample"": 0.729015}",
8,success,0.12609395229486237,0.0359777909502649,0.02,"{""colsample_bytree"": 0.494623, ""max_depth"": 43, ""min_child_samples"": 8, ""n_estimators"": 588, ""random_state"": 194, ""strategy"": ""separate"", ""subsample"": 0.860868}",
9,success,0.1274038881982304,-0.0007198975234316748,0.06,"{""colsample_bytree"": 0.47709, ""max_depth"": 29, ""min_child_samples"": 14, ""n_estimators"": 1630, ""random_state"": 186, ""strategy"": ""separate"", ""subsample"": 0.888592}",
10,success,0.12019171253073835,0.1318359706812394,0.09,"{""colsample_bytree"": 0.454614, ""max_depth"": 22, ""min_child_samples"": 1, ""n_estimators"": 1942, ""random_state"": 41, ""strategy"": ""separate"", ""subsample"": 0.898379}",
11,success,0.12465797060173207,0.06714517081124076,0.03,"{""colsample_bytree"": 0.466822, ""max_depth"": 32, ""min_child_samples"": 5, ""n_estimators"": 706, ""random_state"": 84, ""strategy"": ""separate"", ""subsample"": 0.836023}",
12,success,0.12692109378480806,0.009315426673421409,0.04,"{""colsample_bytree"": 0.487331, ""max_depth"": 26, ""min_child_samples"": 11, ""n_estimators"": 1227, ""random_state"": 332, ""strategy"": ""separate"", ""subsample"": 0.780093}",
13,success,0.12228320002782127,0.0903238023963525,0.06,"{""colsample_bytree"": 0.348962, ""max_depth"": 40, ""min_child_samples"": 3, ""n_estimators"": 1747, ""random_state"": 237, ""strategy"": ""separate"", ""subsample"": 0.860242}",
14,success,0.12532778233434105,0.015764621656018978,0.04,"{""colsample_bytree"": 0.343923, ""max_depth"": 49, ""min_child_samples"": 11, ""n_estimators"": 1052, ""random_state"": 167, ""strategy"": ""separate"", ""subsample"": 0.906449}",
15,success,0.11930340300027414,0.12913229865371909,0.04,"{""colsample_bytree"": 0.380233, ""max_depth"": 46, ""min_child_samples"": 1, ""n_estimators"": 969, ""random_state"": 34, ""strategy"": ""separate"", ""subsample"": 0.941514}",
16,success,0.12646090534146823,0.005191911212437024,0.06,"{""colsample_bytree"": 0.431088, ""max_depth"": 48, ""min_child_samples"": 12, ""n_estimators"": 1661, ""random_state"": 203, ""strategy"": ""separate"", ""subsample"": 0.794403}",
17,success,0.12260356097067682,0.0920069132121769,0.03,"{""colsample_bytree"": 0.412274, ""max_depth"": 28, ""min_child_samples"": 3, ""n_estimators"": 792, ""random_state"": 135, ""strategy"": ""separate"", ""subsample"": 0.773988}",
18,success,0.12533859576069298,0.050568112484372485,0.06,"{""colsample_bytree"": 0.499508, ""max_depth"": 32, ""min_child_samples"": 6, ""n_estimators"": 1695, ""random_state"": 261, ""strategy"": ""separate"", ""subsample"": 0.765796}",
19,success,0.12055725844508532,0.1224061089685992,0.03,"{""colsample_bytree"": 0.330568, ""max_depth"": 44, ""min_child_samples"": 1, ""n_estimators"": 686, ""random_state"": 82, ""strategy"": ""separate"", ""subsample"": 0.958331}",
20,success,0.12544383301341286,0.04279076988343202,0.06,"{""colsample_bytree"": 0.499224, ""max_depth"": 22, ""min_child_samples"": 7, ""n_estimators"": 1721, ""random_state"": 271, ""strategy"": ""separate"", ""subsample"": 0.814486}",
21,success,0.1191334359529539,0.12817062206589652,0.07,"{""colsample_bytree"": 0.32291, ""max_depth"": 47, ""min_child_samples"": 1, ""n_estimators"": 1633, ""random_state"": 454, ""strategy"": ""separate"", ""subsample"": 0.904085}",
22,success,0.12196446985302349,0.09991509665527766,0.07,"{""colsample_bytree"": 0.331632, ""max_depth"": 30, ""min_child_samples"": 2, ""n_estimators"": 1812, ""random_state"": 2, ""strategy"": ""separate"", ""subsample"": 0.78805}",
23,success,0.12246579326895292,0.08894375394035736,0.05,"{""colsample_bytree"": 0.321282, ""max_depth"": 44, ""min_child_samples"": 3, ""n_estimators"": 1525, ""random_state"": 321, ""strategy"": ""separate"", ""subsample"": 0.852305}",
24,success,0.12569359620125528,0.013457575366250215,0.06,"{""colsample_bytree"": 0.374783, ""max_depth"": 36, ""min_child_samples"": 10, ""n_estimators"": 1808, ""random_state"": 83, ""strategy"": ""separate"", ""subsample"": 0.759673}",
25,success,0.1257806500017642,0.029047799623489856,0.06,"{""colsample_bytree"": 0.48582, ""max_depth"": 30, ""min_child_samples"": 8, ""n_estimators"": 1726, ""random_state"": 450, ""strategy"": ""separate"", ""subsample"": 0.705843}",
26,success,0.12471612970429297,0.08529877364858124,0.04,"{""colsample_bytree"": 0.48939, ""max_depth"": 21, ""min_child_samples"": 4, ""n_estimators"": 990, ""random_state"": 44, ""strategy"": ""separate"", ""subsample"": 0.963403}",
27,success,0.12528429869577445,0.02687275842064213,0.02,"{""colsample_bytree"": 0.325678, ""max_depth"": 44, ""min_child_samples"": 9, ""n_estimators"": 641, ""random_state"": 244, ""strategy"": ""separate"", ""subsample"": 0.92975}",
28,success,0.127879924827528,-0.00013335404784916202,0.04,"{""colsample_bytree"": 0.492873, ""max_depth"": 36, ""min_child_samples"": 14, ""n_estimators"": 1042, ""random_state"": 476, ""strategy"": ""separate"", ""subsample"": 0.881978}",
29,success,0.12485210464141376,0.05023345458052333,0.07,"{""colsample_bytree"": 0.429976, ""max_depth"": 29, ""min_child_samples"": 7, ""n_estimators"": 1960, ""random_state"": 225, ""strategy"": ""separate"", ""subsample"": 0.998545}",
30,success,0.12264055766956522,0.06226954468149465,0.03,"{""colsample_bytree"": 0.304207, ""max_depth"": 27, ""min_child_samples"": 4, ""n_estimators"": 747, ""random_state"": 284, ""strategy"": ""separate"", ""subsample"": 0.719208}",
31,success,0.12074699063409113,0.11559814893727305,0.07,"{""colsample_bytree"": 0.426221, ""max_depth"": 27, ""min_child_samples"": 1, ""n_estimators"": 1705, ""random_state"": 118, ""strategy"": ""separate"", ""subsample"": 0.721298}",
