trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.11651873019148223,0.050461467931471014,0.07,"{""C"": 1.0, ""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""coef0"": 0.0, ""colsample_bytree"": 1.0, ""degree"": 3, ""early_stopping_rounds"": 50, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""separate"", ""subsample"": 1.0, ""weights"": ""uniform""}",
2,success,0.13351410174601444,-3.587698784716959,0.05,"{""C"": 2.510825, ""coef0"": 1.472942, ""degree"": 3, ""epsilon"": 0.275754, ""gamma"": ""scale"", ""kernel"": ""linear""}",
3,success,0.12358026472699896,-1.2489716822759227,0.03,"{""C"": 59.053346, ""coef0"": 0.465322, ""degree"": 3, ""epsilon"": 0.032751, ""gamma"": ""scale"", ""kernel"": ""linear""}",
4,success,0.13957280106786688,-26.902866135250207,0.00,"{""C"": 56.128894, ""coef0"": 0.898418, ""degree"": 3, ""epsilon"": 0.716304, ""gamma"": ""auto"", ""kernel"": ""linear""}",
5,crash,,,,"{""C"": 80.944951, ""coef0"": 0.680501, ""degree"": 5, ""epsilon"": 0.007492, ""gamma"": ""scale"", ""kernel"": ""rbf""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=rbf, C=80.944951, gamma=scale)"
6,success,0.14012718745683553,-0.6518637760827518,0.00,"{""C"": 21.539223, ""coef0"": 0.759855, ""degree"": 2, ""epsilon"": 0.763731, ""gamma"": ""scale"", ""kernel"": ""poly""}",
7,success,0.19446898523314746,-35.10980152607987,0.00,"{""C"": 84.750962, ""coef0"": 1.072456, ""degree"": 5, ""epsilon"": 0.604122, ""gamma"": ""scale"", ""kernel"": ""rbf""}",
8,crash,,,,"{""C"": 7.889232, ""coef0"": 1.409144, ""degree"": 3, ""epsilon"": 0.293885, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=sigmoid, C=7.889232, gamma=auto)"
9,success,0.14363423529700955,-26.644095029731577,0.00,"{""C"": 66.129719, ""coef0"": 1.732967, ""degree"": 3, ""epsilon"": 0.773295, ""gamma"": ""scale"", ""kernel"": ""linear""}",
10,crash,,,,"{""C"": 27.804581, ""coef0"": 0.740362, ""degree"": 3, ""epsilon"": 0.636049, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=sigmoid, C=27.804581, gamma=auto)"
11,success,0.3911076202442414,-12231.59983070367,0.00,"{""C"": 67.020816, ""coef0"": 1.06828, ""degree"": 3, ""epsilon"": 0.702118, ""gamma"": ""scale"", ""kernel"": ""poly""}",
12,crash,,,,"{""C"": 16.348615, ""coef0"": 1.685704, ""degree"": 4, ""epsilon"": 0.380076, ""gamma"": ""scale"", ""kernel"": ""poly""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=poly, C=16.348615, gamma=scale)"
13,success,0.1236321893206717,-1.4022380685871514,0.02,"{""C"": 22.912517, ""coef0"": 0.535482, ""degree"": 5, ""epsilon"": 0.033068, ""gamma"": ""auto"", ""kernel"": ""linear""}",
14,success,1.3868161880799905,-21967.486790227253,0.00,"{""C"": 91.314481, ""coef0"": 1.310877, ""degree"": 3, ""epsilon"": 0.567613, ""gamma"": ""auto"", ""kernel"": ""poly""}",
15,crash,,,,"{""C"": 88.469469, ""coef0"": 0.279261, ""degree"": 4, ""epsilon"": 0.643209, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=sigmoid, C=88.469469, gamma=scale)"
16,crash,,,,"{""C"": 74.703911, ""coef0"": 0.438642, ""degree"": 4, ""epsilon"": 0.429005, ""gamma"": ""auto"", ""kernel"": ""rbf""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=rbf, C=74.703911, gamma=auto)"
17,crash,,,,"{""C"": 50.957534, ""coef0"": 0.305683, ""degree"": 2, ""epsilon"": 0.091819, ""gamma"": ""scale"", ""kernel"": ""poly""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=poly, C=50.957534, gamma=scale)"
18,crash,,,,"{""C"": 79.210016, ""coef0"": 0.763239, ""degree"": 5, ""epsilon"": 0.422738, ""gamma"": ""scale"", ""kernel"": ""poly""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=poly, C=79.210016, gamma=scale)"
19,crash,,,,"{""C"": 52.916143, ""coef0"": 1.363421, ""degree"": 2, ""epsilon"": 0.971107, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=sigmoid, C=52.916143, gamma=scale)"
20,crash,,,,"{""C"": 76.862187, ""coef0"": 0.316316, ""degree"": 5, ""epsilon"": 0.340835, ""gamma"": ""auto"", ""kernel"": ""rbf""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=rbf, C=76.862187, gamma=auto)"
21,success,0.1500943939771398,-18.891801252171046,0.01,"{""C"": 95.382055, ""coef0"": 1.015363, ""degree"": 3, ""epsilon"": 0.875977, ""gamma"": ""auto"", ""kernel"": ""linear""}",
22,success,0.13338230270933885,-3.296200735485453,0.01,"{""C"": 87.053152, ""coef0"": 0.747828, ""degree"": 3, ""epsilon"": 0.299146, ""gamma"": ""scale"", ""kernel"": ""linear""}",
23,crash,,,,"{""C"": 53.942509, ""coef0"": 0.977211, ""degree"": 4, ""epsilon"": 0.778848, ""gamma"": ""scale"", ""kernel"": ""poly""}","trainer raised ValueError: SVR predictions contain NaN/Inf — config likely too extreme (kernel=poly, C=53.942509, gamma=scale)"
