commit	experiment_id	model	validation_avg_rmse	validation_avg_r2	test_avg_rmse	test_avg_r2	runtime_minutes	status	description
	lightgbm_v1_0001	lightgbm	0.123778	0.093485			0.06	keep	campaign baseline
	lightgbm_v1_0001	lightgbm	16.782848	-53244.651439			0.23	discard	trial 1: rel_improvement=-134.5886 < threshold
	lightgbm_v1_0001	lightgbm	0.146954	-0.122172			0.17	discard	trial 2: rel_improvement=-0.1872 < threshold
	lightgbm_v1_0001	lightgbm	0.134166	-0.051657			0.02	discard	trial 3: rel_improvement=-0.0839 < threshold
	lightgbm_v1_0001	lightgbm	0.133408	-0.058766			0.01	discard	trial 4: rel_improvement=-0.0778 < threshold
	lightgbm_v1_0001	lightgbm	0.129558	-0.061576			0.02	discard	trial 5: rel_improvement=-0.0467 < threshold
	lightgbm_v1_0001	lightgbm	0.146954	-0.122172			0.01	discard	trial 6: rel_improvement=-0.1872 < threshold
	lightgbm_v1_0001	lightgbm	0.281352	-2331.191462			0.09	discard	trial 7: rel_improvement=-1.2730 < threshold
	lightgbm_v1_0001	lightgbm	0.146954	-0.122172			0.01	discard	trial 8: rel_improvement=-0.1872 < threshold
	lightgbm_v1_0001	lightgbm	0.146954	-0.122172			0.01	discard	trial 9: rel_improvement=-0.1872 < threshold
	lightgbm_v1_0001	lightgbm	0.132908	-0.043145			0.01	discard	trial 10: rel_improvement=-0.0738 < threshold
	lightgbm_v1_0001	lightgbm	0.136456	-0.065652			0.01	discard	trial 11: rel_improvement=-0.1024 < threshold
	lightgbm_v1_0001	lightgbm	0.128931	-0.062618			0.03	discard	trial 12: rel_improvement=-0.0416 < threshold
	lightgbm_v1_0001	lightgbm	0.140970	-0.076496			0.01	discard	trial 13: rel_improvement=-0.1389 < threshold
	lightgbm_v1_0001	lightgbm	0.143537	-0.091674			0.11	discard	trial 14: rel_improvement=-0.1596 < threshold
	lightgbm_v1_0001	lightgbm	0.126928	-0.058744			0.02	discard	trial 15: rel_improvement=-0.0255 < threshold
	lightgbm_v1_0001	lightgbm	0.137756	-0.067944			0.00	discard	trial 16: rel_improvement=-0.1129 < threshold
	lightgbm_v1_0001	lightgbm	0.146954	-0.122172			0.00	discard	trial 17: rel_improvement=-0.1872 < threshold
	lightgbm_v1_0001	lightgbm	0.135985	-0.085857			0.00	discard	trial 18: rel_improvement=-0.0986 < threshold
	lightgbm_v1_0001	lightgbm	0.143156	-0.077736			0.02	discard	trial 19: rel_improvement=-0.1566 < threshold
	lightgbm_v1_0001	lightgbm	0.140725	-0.070840			0.18	discard	trial 20: rel_improvement=-0.1369 < threshold
	lightgbm_v1_0001	lightgbm	0.138594	-0.063559			0.02	discard	trial 21: rel_improvement=-0.1197 < threshold
	lightgbm_v1_0001	lightgbm	0.139325	-0.080431			0.01	discard	trial 22: rel_improvement=-0.1256 < threshold
	lightgbm_v1_0001	lightgbm	0.131308	-0.024930			0.01	discard	trial 23: rel_improvement=-0.0608 < threshold
	lightgbm_v1_0001	lightgbm	0.136849	-0.063466			0.01	discard	trial 24: rel_improvement=-0.1056 < threshold
	lightgbm_v1_0001	lightgbm	0.128256	-0.032891			0.06	discard	trial 25: rel_improvement=-0.0362 < threshold
	lightgbm_v1_0001	lightgbm	0.136405	-0.087124			0.02	discard	trial 26: rel_improvement=-0.1020 < threshold
	lightgbm_v1_0001	lightgbm	0.127127	-0.173686			0.03	discard	trial 27: rel_improvement=-0.0271 < threshold
	lightgbm_v1_0001	lightgbm	0.142148	-0.073789			0.26	discard	trial 28: rel_improvement=-0.1484 < threshold
	lightgbm_v1_0001	lightgbm	0.141448	-0.080881			0.05	discard	trial 29: rel_improvement=-0.1428 < threshold
	lightgbm_v1_0001	lightgbm	0.133028	-0.008331			0.01	discard	trial 30: rel_improvement=-0.0747 < threshold
	lightgbm_v2_0001	lightgbm	0.123778	0.093485			0.03	keep	campaign baseline
	lightgbm_v2_0001	lightgbm	0.139192	-0.059174			0.00	discard	trial 1: rel_improvement=-0.1245 < threshold
	lightgbm_v2_0001	lightgbm	0.141272	-0.066757			0.00	discard	trial 2: rel_improvement=-0.1413 < threshold
	lightgbm_v2_0001	lightgbm	0.141098	-0.063978			0.00	discard	trial 3: rel_improvement=-0.1399 < threshold
	lightgbm_v2_0001	lightgbm	0.139170	-0.075597			0.00	discard	trial 4: rel_improvement=-0.1244 < threshold
	lightgbm_v2_0001	lightgbm	0.138744	-0.059749			0.00	discard	trial 5: rel_improvement=-0.1209 < threshold
	lightgbm_v2_0001	lightgbm	0.140309	-0.069703			0.00	discard	trial 6: rel_improvement=-0.1336 < threshold
	lightgbm_v2_0001	lightgbm	0.138637	-0.077399			0.00	discard	trial 7: rel_improvement=-0.1200 < threshold
	lightgbm_v2_0001	lightgbm	0.138428	-0.075461			0.00	discard	trial 8: rel_improvement=-0.1184 < threshold
	lightgbm_v2_0001	lightgbm	0.141110	-0.069645			0.00	discard	trial 9: rel_improvement=-0.1400 < threshold
	lightgbm_v2_0001	lightgbm	0.137499	-0.065495			0.00	discard	trial 10: rel_improvement=-0.1109 < threshold
	lightgbm_v2_0001	lightgbm	0.138477	-0.072984			0.00	discard	trial 11: rel_improvement=-0.1188 < threshold
	lightgbm_v2_0001	lightgbm	0.137363	-0.055032			0.00	discard	trial 12: rel_improvement=-0.1098 < threshold
	lightgbm_v2_0001	lightgbm	0.138236	-0.061446			0.00	discard	trial 13: rel_improvement=-0.1168 < threshold
	lightgbm_v2_0001	lightgbm	0.140629	-0.069137			0.00	discard	trial 14: rel_improvement=-0.1361 < threshold
	lightgbm_v2_0001	lightgbm	0.137679	-0.063776			0.00	discard	trial 15: rel_improvement=-0.1123 < threshold
	lightgbm_v2_0001	lightgbm	0.138969	-0.069025			0.00	discard	trial 16: rel_improvement=-0.1227 < threshold
	lightgbm_v2_0001	lightgbm	0.138950	-0.065112			0.00	discard	trial 17: rel_improvement=-0.1226 < threshold
	lightgbm_v2_0001	lightgbm	0.141440	-0.073538			0.00	discard	trial 18: rel_improvement=-0.1427 < threshold
	lightgbm_v2_0001	lightgbm	0.138535	-0.065949			0.00	discard	trial 19: rel_improvement=-0.1192 < threshold
	lightgbm_v2_0001	lightgbm	0.139221	-0.085547			0.00	discard	trial 20: rel_improvement=-0.1248 < threshold
	lightgbm_v2_0001	lightgbm	0.138119	-0.063825			0.00	discard	trial 21: rel_improvement=-0.1159 < threshold
	lightgbm_v2_0001	lightgbm	0.140749	-0.062355			0.00	discard	trial 22: rel_improvement=-0.1371 < threshold
	lightgbm_v2_0001	lightgbm	0.140905	-0.065564			0.00	discard	trial 23: rel_improvement=-0.1384 < threshold
	lightgbm_v2_0001	lightgbm	0.137161	-0.058082			0.00	discard	trial 24: rel_improvement=-0.1081 < threshold
	lightgbm_v2_0001	lightgbm	0.138505	-0.082035			0.00	discard	trial 25: rel_improvement=-0.1190 < threshold
	lightgbm_v2_0001	lightgbm	0.141730	-0.075494			0.00	discard	trial 26: rel_improvement=-0.1450 < threshold
	lightgbm_v2_0001	lightgbm	0.138162	-0.071504			0.00	discard	trial 27: rel_improvement=-0.1162 < threshold
	lightgbm_v2_0001	lightgbm	0.139621	-0.069380			0.00	discard	trial 28: rel_improvement=-0.1280 < threshold
	lightgbm_v2_0001	lightgbm	0.140946	-0.063199			0.00	discard	trial 29: rel_improvement=-0.1387 < threshold
	lightgbm_v2_0001	lightgbm	0.140564	-0.072148			0.00	discard	trial 30: rel_improvement=-0.1356 < threshold
	lightgbm_v3_0001	lightgbm	0.123778	0.093485			0.04	keep	campaign baseline
	lightgbm_v3_0001	lightgbm	0.138385	-0.061572			0.02	discard	trial 1: rel_improvement=-0.1180 < threshold
	lightgbm_v3_0001	lightgbm	0.139466	-0.064774			0.01	discard	trial 2: rel_improvement=-0.1267 < threshold
	lightgbm_v3_0001	lightgbm	0.137370	-0.079684			0.01	discard	trial 3: rel_improvement=-0.1098 < threshold
	lightgbm_v3_0001	lightgbm	0.138612	-0.074097			0.01	discard	trial 4: rel_improvement=-0.1198 < threshold
